            id             |                                                        url                                                         |        fetchedAt        
---------------------------+--------------------------------------------------------------------------------------------------------------------+-------------------------
 cmjievhzg0002fvwam16i6ter | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               | 2025-12-23 09:57:29.932
 cmjievgih0000fvwanr8axica | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              | 2025-12-23 09:57:28.025
 cmjieu7jp0002rewazzxdlzqg | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               | 2025-12-23 09:56:29.749
 cmjieu61w0000rewa5o0zac8o | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              | 2025-12-23 09:56:27.812
 cmjietcjt000dnjwaxlm1vkgr | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               | 2025-12-23 09:55:49.577
 cmjietc8x000k8jwamcff3012 | https://hzzo.hr/novosti/sretan-bozic-i-nova-godina                                                                 | 2025-12-23 09:55:49.185
 cmjietbw7000i8jwa73zgawhm | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               | 2025-12-23 09:55:48.726
 cmjietb0k000bnjwaist4e466 | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              | 2025-12-23 09:55:47.588
 cmjietaf3000g8jwa2ysbt45k | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              | 2025-12-23 09:55:46.815
 cmjieta9l000e8jwa7jawir74 | https://hzzo.hr/novosti/upozorenje-obavijest-o-laznim-sms-porukama                                                 | 2025-12-23 09:55:46.617
 cmjiet8vn000c8jwa15nmyib7 | https://hzzo.hr/novosti/natjecaj-za-sklapanje-ugovora-o-provodenju-primarne-zdravstvene-zastite-iz-obveznog-5      | 2025-12-23 09:55:44.819
 cmjiet7b8000a8jwa22v09sux | https://hzzo.hr/novosti/natjecaj-za-sklapanje-ugovora-o-provodenju-zdravstvene-njege-u-kuci-za-potrebe-popune      | 2025-12-23 09:55:42.787
 cmjiet5pe00088jwaopedlge3 | https://hzzo.hr/novosti/n-t-j-e-c-j-za-sklapanje-ugovora-o-provodenju-specijalisticko-konzilijarne-zdravstvene-0   | 2025-12-23 09:55:40.706
 cmjiet49l00068jwao191eful | https://hzzo.hr/novosti/hzzo/novi-lijekovi-i-nova-pomagala-na-listama-hzzo-1                                       | 2025-12-23 09:55:38.841
