            id             |                                                        url                                                         | pointer_count 
---------------------------+--------------------------------------------------------------------------------------------------------------------+---------------
 cmjievgih0000fvwanr8axica | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             9
 cmjieu61w0000rewa5o0zac8o | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             6
 cmjietaf3000g8jwa2ysbt45k | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             3
 cmjietc8x000k8jwamcff3012 | https://hzzo.hr/novosti/sretan-bozic-i-nova-godina                                                                 |             3
 cmjietcjt000dnjwaxlm1vkgr | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               |             2
 cmjieu7jp0002rewazzxdlzqg | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               |             1
 cmjiet5pe00088jwaopedlge3 | https://hzzo.hr/novosti/n-t-j-e-c-j-za-sklapanje-ugovora-o-provodenju-specijalisticko-konzilijarne-zdravstvene-0   |             0
 cmjietb0k000bnjwaist4e466 | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjh7mg65007156wav5kata3e | https://hzzo.hr/novosti/hzzo/hzzo-nastavlja-financirati-rad-pod-nadzorom-doktora-medicine-bez-specijalizacije-te-1 |             0
 cmjh8854z0004fgwauv6r8e4v | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjh7mm73007956warnhb496q | https://hzzo.hr/novosti/natjecaj-za-sklapanje-ugovora-o-provodenju-primarne-zdravstvene-zastite-iz-obveznog-5      |             0
 cmjiet17j00028jwa3cbd3n7w | https://hzzo.hr/novosti/brosura-rodiljne-i-roditeljske-potpore                                                     |             0
 cmjiet8vn000c8jwa15nmyib7 | https://hzzo.hr/novosti/natjecaj-za-sklapanje-ugovora-o-provodenju-primarne-zdravstvene-zastite-iz-obveznog-5      |             0
 cmjiet2qo00048jwa89jz8o63 | https://hzzo.hr/novosti/hzzo/hzzo-nastavlja-financirati-rad-pod-nadzorom-doktora-medicine-bez-specijalizacije-te-1 |             0
 cmjieszfr00008jwapf913uft | https://hzzo.hr/novosti/hzzo/hzzo-nastavlja-financirati-rad-pod-nadzorom-doktora-medicine-bez-specijalizacije-0    |             0
 cmjhjdyr90004azwax5uferm0 | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjh7mj6i007556wauwzni4xr | https://hzzo.hr/novosti/n-t-j-e-c-j-za-sklapanje-ugovora-o-provodenju-specijalisticko-konzilijarne-zdravstvene-0   |             0
 cmjh7mho3007356wae692u7ob | https://hzzo.hr/novosti/hzzo/novi-lijekovi-i-nova-pomagala-na-listama-hzzo-1                                       |             0
 cmjiet49l00068jwao191eful | https://hzzo.hr/novosti/hzzo/novi-lijekovi-i-nova-pomagala-na-listama-hzzo-1                                       |             0
 cmjiawqsv00037uwa0xwpuyyv | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               |             0
 cmjietbw7000i8jwa73zgawhm | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               |             0
 cmjhqgrel0004fewasivss7uw | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjiawp9p00017uwa11sj0sxf | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjh7mnsw007b56wawpfllv96 | https://hzzo.hr/novosti/upozorenje-obavijest-o-laznim-sms-porukama                                                 |             0
 cmjh7q7ce00043iwas5p8upwu | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjh7meeu006z56waku67jz8t | https://hzzo.hr/novosti/brosura-rodiljne-i-roditeljske-potpore                                                     |             0
 cmjho9db50004xewa2qe1mzec | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjh7mko9007756wax4cbgc35 | https://hzzo.hr/novosti/natjecaj-za-sklapanje-ugovora-o-provodenju-zdravstvene-njege-u-kuci-za-potrebe-popune      |             0
 cmjh7mthi007l56wap6a85z1l | https://porezna-uprava.gov.hr/Misljenja/Detaljno/2665                                                              |             0
 cmjieta9l000e8jwa7jawir74 | https://hzzo.hr/novosti/upozorenje-obavijest-o-laznim-sms-porukama                                                 |             0
 cmjh7mcwj006x56wavue90cvj | https://hzzo.hr/novosti/hzzo/hzzo-nastavlja-financirati-rad-pod-nadzorom-doktora-medicine-bez-specijalizacije-0    |             0
 cmjievhzg0002fvwam16i6ter | https://porezna-uprava.gov.hr/hr/izmjena-i-dopuna-pravilnika-o-porezu-na-dodanu-vrijednost-8156/8156               |             0
 cmjiet7b8000a8jwa22v09sux | https://hzzo.hr/novosti/natjecaj-za-sklapanje-ugovora-o-provodenju-zdravstvene-njege-u-kuci-za-potrebe-popune      |             0
(33 rows)

